Column1,Column2
observacion,califcacion
El señor conductor llegó con un acompañante y no cumplió con el servicio,N
Nada,NEU
Hhug,NEU
Actitud desagradable,N
Nunca llegó ,N
Cancelo la carrera :/,N
Ya no necesitaba,NEU
Nunca llego Nunca llegó,N
Viaje agradable,P
nunca llego y lo espere más tiempo ,N
Yo me tarde. Lo siento,NEU
cancelación de pedido,N
Nunca llegó,N
Canceló solicitud,N
Servicio de llamadas,N
Puntualidad,N
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Excelente servicio ,P
Ok,P
Q paso?,NEU
Bolivar bailón y Ramón burneo,NEU
no llego la unidad en el tiempo ,N
No llego,N
Me llamo porq me quiere cobrar 4$ desde la Lorena hasta la rio Zamora.. Por la Cava.. Fatal,N
Nunca llegó,N
Nqbwbbe ,NEU
Esperando,N
Llegomotro,NEU
Me equivoqué de dirección,NEU
Esperándolo y nada,N
Disculpe ya salio ,NEU
No quería poner taxímetro Actitud desagradable,N
"Mal estado de vehículo, Uso teléfono hablo/chat",N
Muy bien ,P
Puntualidad,NEU
Amigo no se malito no me cancele,N
Mala atención,N
cobro muy caro abusivamente,N
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Malo ,N
Ok,P
Atento y cordial,P
No llego ,N
Servicio de llamadas,NEU
Cancelar,N
Excelente,P
Viaje agradable,P
Venga,NEU
Canceló solicitud,N
Bueno ,P
Pésimo servicio esperando y me cancela,N
Buen trato,P
Atento y cordial,P
No pude llegar,NEU
Eso es una falta de respeto,N
Cancelo,N
Atento y cordial,P
Mal la direccion,NEU
Actitud desagradable,N
Nunca llego ,N
NonllegoNunca llegó,N
no llego pronto ,N
Viaje agradable,P
Gracias,P
no llego a su destino ,N
Canceló solicitud,N
"Mal trato al pasajero , exceso de velocidad ,abusivo para cobrar , cobra demás de lo que es",N
Buena ,P
Atento y cordial,P
Ya no lo necesito,NEU
"Atento y cordial, Viaje agradable, Puntualidad",P
"Puntualidad, Atento y cordial, Viaje agradable",P
"Atento y cordial, Viaje agradable, Puntualidad",P
Atento y cordial,P
Atento y cordial,P
No llegó,N
"Atento y cordial, Viaje agradable, Puntualidad",P
ya no saldré,NEU
no deseamos,NEU
Mal,N
Atento y cordial,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Excelente ,P
Puntualidad,NEU
Nunca llegó,P
Puntualidad,NEU
Tiempo mas de 8 minutos. Esperé pero nadie llegó. Tuve que coquer otro taxi que pasava alli vacio. Servicio pesimo. Aplicacion complicada de usar. Prefiero llamar con telefono.,N
 no llego al lugar ,N
Pésimo servicio,N
Nunca llegó,N
Viaje agradable,P
Ya no necesito gracias,NEU
Atento y cordial,P
"El cliente, ya no desea. ",NEU
😤,N
No se ubica en la dirección,N
No valeCanceló solicitud,N
HP,N
Llevó otro cliente,N
Evitar el claxon,N
Urgencia,NEU
tiempo de espera ,NEU
le llamamos varia veces no contestoLlevó otro cliente,N
Atento y cordial,P
No hizo nada ,N
Nunca llegó,N
"Atento y cordial, Viaje agradable",P
