comentario,valor,equivalente
El señor conductor llegó con un acompañante y no cumplió con el servicio,N,0
Nada,NEU,1
Hhug,NEU,1
Actitud desagradable,N,0
Nunca llegó ,N,0
Cancelo la carrera :/,N,0
Ya no necesitaba,NEU,1
Nunca llego Nunca llegó,N,0
Viaje agradable,P,2
nunca llego y lo espere más tiempo ,N,0
Yo me tarde. Lo siento,NEU,1
cancelación de pedido,N,0
Nunca llegó,N,0
Canceló solicitud,N,0
Servicio de llamadas,N,0
Puntualidad,N,0
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Excelente servicio ,P,2
Ok,P,2
Q paso?,NEU,1
Bolivar bailón y Ramón burneo,NEU,1
no llego la unidad en el tiempo ,N,0
No llego,N,0
Me llamo porq me quiere cobrar 4$ desde la Lorena hasta la rio Zamora.. Por la Cava.. Fatal,N,0
Nunca llegó,N,0
Nqbwbbe ,NEU,1
Esperando,N,0
Llegomotro,NEU,1
Me equivoqué de dirección,NEU,1
Esperándolo y nada,N,0
Disculpe ya salio ,NEU,1
No quería poner taxímetro Actitud desagradable,N,0
"Mal estado de vehículo, Uso teléfono hablo/chat",N,0
Muy bien ,P,2
Puntualidad,NEU,1
Amigo no se malito no me cancele,N,0
Mala atención,N,0
cobro muy caro abusivamente,N,0
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Malo ,N,0
Ok,P,2
Atento y cordial,P,2
No llego ,N,0
Servicio de llamadas,NEU,1
Cancelar,N,0
Excelente,P,2
Viaje agradable,P,2
Venga,NEU,1
Canceló solicitud,N,0
Bueno ,P,2
Pésimo servicio esperando y me cancela,N,0
Buen trato,P,2
Atento y cordial,P,2
No pude llegar,NEU,1
Eso es una falta de respeto,N,0
Cancelo,N,0
Atento y cordial,P,2
Mal la direccion,NEU,1
Actitud desagradable,N,0
Nunca llego ,N,0
NonllegoNunca llegó,N,0
no llego pronto ,N,0
Viaje agradable,P,2
Gracias,P,2
no llego a su destino ,N,0
Canceló solicitud,N,0
"Mal trato al pasajero , exceso de velocidad ,abusivo para cobrar , cobra demás de lo que es",N,0
Buena ,P,2
Atento y cordial,P,2
Ya no lo necesito,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
"Puntualidad, Atento y cordial, Viaje agradable",P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Atento y cordial,P,2
Atento y cordial,P,2
No llegó,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
ya no saldré,NEU,1
no deseamos,NEU,1
Mal,N,0
Atento y cordial,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Excelente ,P,2
Puntualidad,NEU,1
Nunca llegó,P,2
Puntualidad,NEU,1
Tiempo mas de 8 minutos. Esperé pero nadie llegó. Tuve que coquer otro taxi que pasava alli vacio. Servicio pesimo. Aplicacion complicada de usar. Prefiero llamar con telefono.,N,0
 no llego al lugar ,N,0
Pésimo servicio,N,0
Nunca llegó,N,0
Viaje agradable,P,2
Ya no necesito gracias,NEU,1
Atento y cordial,P,2
"El cliente, ya no desea. ",NEU,1
😤,N,0
No se ubica en la dirección,N,0
No valeCanceló solicitud,N,0
HP,N,0
Llevó otro cliente,N,0
Evitar el claxon,N,0
Urgencia,NEU,1
tiempo de espera ,NEU,1
le llamamos varia veces no contestoLlevó otro cliente,N,0
Atento y cordial,P,2
