comentario,valor,equivalente
No Sale El Cliente,N,0
ZjjFjfNgñkmbzlh,NEU,1
Q  les lleve a 5 perdonas no  me retiro   q no quieren ,N,0
Se A Ido No Hay,N,0
mHsghshzbznzmzjxj,NEU,1
Estoy llanta baja ,NEU,1
Error no estoy trabajando,NEU,1
No da el botón de abordo  ,NEU,1
No coincide la direccion,N,0
Estoy en el lugar y no sale ,N,0
Por las puras,N,0
El Cliente No Salió ,N,0
Botón De Arranque No Funciona ,NEU,1
Mal la ubicacion gps me da otro lado,N,0
Estaba de qpuro,N,0
Yale recogi al cliente,P,2
Cancelo la unidad estando en el lugar ,N,0
Esta mariado,NEU,1
Mal 0uesta la direccion ,NEU,1
No aparece el cliente,N,0
No se actova boton,NEU,1
No ha esperado,N,0
Problema Mecánico ,NEU,1
No aparece el cliente,N,0
Finalizo la carrera,P,2
No hay como ingresar al cementerio que es la dirección que da el cliente tampoco no es válido el número de celular ,NEU,1
Más seriedad ya llegando,N,0
Se equivocó de punto,N,0
Problema Mecánico ,N,0
El cliente no salio,N,0
Cliente se ha retirado,N,0
Cancelo el señor,N,0
No prende el carro,N,0
Hbbgggghhjjkkjuuu,NEU,1
El cliente sea hudo,N,0
Esta mal la dirección ,N,0
Cancelo x q quería comprar Droga,N,0
Elclent ocupa oto taxi,N,0
Mil disculpas por no recojerlo estado etílico,NEU,1
Excelente,P,2
El cliente no esta ,N,0
Mal Direccio ,N,0
Cancela..esta copiado,NEU,1
Qu y me casela,N,0
Cancelo el cliente no se porque,N,0
Hggghhhhyygjuu78,NEU,1
Cliente no sale,N,0
Pone a bordo ,P,2
Cliente Estaba Muy Estado Etílico No Se Le Pudo Llevar,N,0
Neumáticos Sin Aire ,NEU,1
Esta mal  la direccion  si recojo  al cliente,NEU,1
Excelente gracias ,P,2
No salio el clie.nte,N,0
No prende el carro,NEU,1
Cansela,N,0
cliente no espera,N,0
Asasasasasas,NEU,1
Exeso De Pasajeros ,N,0
Clien informa q ya sale y no lo ace ,N,0
Mala Ubicación Del GPS ,N,0
Carrera cibcluida,P,2
Exelente ,P,2
La direccion no esta,N,0
Se va en Cuenca taxi ,NEU,1
Se Ha Ido El Cliente ,N,0
Cliente borracho  reclamo y no quiere pagar tarifa,N,0
Exelente ,P,2
Ya recoji al cliente,P,2
Mal cliente hace perder tiempo cerca de llegar cancela,N,0
Hhhhghhhhhhukki,NEU,1
No sale el cliente ,N,0
Buen cliente ,P,2
GrCias por favo5r,P,2
Ya realice la carrera pero la señal de los datos se va a cada rato,P,2
Se vajo la llanta,NEU,1
Bien,P,2
Pesima,N,0
Fin de carrer,P,2
Accidente De Tránsito En La Via ,NEU,1
Sin novedades,P,2
Bien ,P,2
Es para encomienda ya le indiqué como haga,P,2
No Se Realizó L Carrea ,NEU,1
Espere 5minutos no parece el cliente,N,0
Buen cliente ,P,2
Llegue y el cliente nunca salio pesimo usuario ,N,0
Llanta Si Aire Lociento,NEU,1
Cliente no da bien la dirección,N,0
Cancelo el cliente,N,0
Cliyente amable,P,2
Canceló ,N,0
Cordial,P,2
El cliente canceló la solicitud ,N,0
No responde el clien,N,0
No Se Activo El Botón ,NEU,1
El cliente cancelo la carrera gracias ,N,0
